id,x,y,deg
001_0,s-0.15909042954444885,s-0.1590946763753891,s-44.999794006347656
002_0,s-0.2614681124687195,s-0.15410560369491577,s246.3702850341797
002_1,s0.26146772503852844,s0.15410540997982025,s66.36994934082031
003_0,s-0.26628708839416504,s-0.23585157096385956,s250.8997344970703
003_1,s-0.3575659692287445,s0.249528169631958,s-66.36993408203125
003_2,s0.2361564040184021,s0.15460066497325897,s564.758544921875
004_0,s0.3247601389884949,s0.4321208596229553,s203.6300506591797
004_1,s-0.3153705894947052,s0.4321179986000061,s563.6299438476562
004_2,s-0.3247588872909546,s-0.4321216940879822,s23.63005828857422
004_3,s0.31537145376205444,s-0.4321189522743225,s743.6299438476562
005_0,s-0.390713632106781,s0.48504358530044556,s516.139404296875
005_1,s-0.5090596675872803,s-0.3981258273124695,s247.39451599121094
005_2,s-0.11288032680749893,s-0.1808658093214035,s-66.36965942382812
005_3,s0.40055638551712036,s-0.5079460740089417,s696.3683471679688
005_4,s0.4122202396392822,s0.40186288952827454,s66.36996459960938
006_0,s0.45352259278297424,s-0.5610476732254028,s-23.630367279052734
006_1,s-0.4536551237106323,s-0.09412968158721924,s-336.3700866699219
006_2,s-0.025942817330360413,s-0.16802765429019928,s-68.87540435791016
006_3,s0.5605625510215759,s0.4476633667945862,s111.12432098388672
006_4,s-0.3950499892234802,s-0.4536825120449066,s246.36997985839844
006_5,s-0.32883307337760925,s0.44770532846450806,s651.1552734375
007_0,s-0.4634414613246918,s0.4895211458206177,s295.7068176269531
007_1,s0.11018732190132141,s-0.5010143518447876,s245.2004852294922
007_2,s-0.11850506067276001,s-0.017583578824996948,s-24.344636917114258
007_3,s-0.19000911712646484,s-0.36555689573287964,s126.06935119628906
007_4,s0.5129225254058838,s0.6230559349060059,s156.36985778808594
007_5,s0.5157827734947205,s-0.24743223190307617,s-23.630062103271484
007_6,s-0.5159942507743835,s0.13621416687965393,s156.3700408935547
008_0,s-0.5573495030403137,s-0.6647207736968994,s743.6300659179688
008_1,s-0.5553276538848877,s0.2065718173980713,s923.6298828125
008_2,s0.6268768906593323,s-0.5573556423187256,s833.6302490234375
008_3,s-0.6268895864486694,s0.5573264956474304,s653.6300659179688
008_4,s0.5573381185531616,s0.6646918058395386,s563.6301879882812
008_5,s-0.11111824959516525,s0.24952508509159088,s681.758056640625
008_6,s0.555313229560852,s-0.2065945267677307,s1103.630126953125
008_7,s0.1111142560839653,s-0.24954718351364136,s861.755615234375
009_0,s-0.519357442855835,s-0.2267216145992279,s28.18717384338379
009_1,s0.2026568502187729,s0.592732310295105,s294.7625732421875
009_2,s-0.2093181312084198,s-0.29948049783706665,s-141.88307189941406
009_3,s0.6009956002235413,s0.11818799376487732,s-20.324207305908203
009_4,s0.5515697002410889,s-0.7114287614822388,s332.56024169921875
009_5,s-0.7142117619514465,s0.6071770191192627,s293.63031005859375
009_6,s-0.7142044901847839,s-0.6082039475440979,s246.36976623535156
009_7,s-0.25422680377960205,s0.1653369963169098,s340.62127685546875
009_8,s0.3473844528198242,s-0.2646300792694092,s383.7966003417969
010_0,s0.18673333525657654,s-0.642035186290741,s609.8157958984375
010_1,s0.6441718935966492,s0.7567503452301025,s201.35150146484375
010_2,s0.1534028947353363,s0.6249459385871887,s424.4357604980469
010_3,s0.6482118368148804,s-0.21653509140014648,s203.727783203125
010_4,s-0.1664525270462036,s-0.3127638101577759,s-66.43730926513672
010_5,s-0.6150782108306885,s-0.15662658214569092,s158.5802001953125
010_6,s-0.20317628979682922,s0.2901914715766907,s-250.41404724121094
010_7,s-0.2381094992160797,s-0.6491892337799072,s473.6847229003906
010_8,s-0.649939239025116,s0.7418110966682434,s-203.6305694580078
010_9,s0.231989324092865,s0.28500980138778687,s-112.67684173583984
011_0,s-0.13902731239795685,s0.695173978805542,s66.36997985839844
011_1,s-0.6288385391235352,s0.3154199719429016,s28.89537811279297
011_2,s-0.6947692632675171,s-0.8018720149993896,s23.629682540893555
011_3,s0.2662762999534607,s-0.6510968804359436,s477.0711669921875
011_4,s0.28372231125831604,s0.6878188252449036,s294.09832763671875
011_5,s0.6830099821090698,s-0.8017498254776001,s341.8232421875
011_6,s-0.06308160722255707,s-0.13777194917201996,s-200.8462677001953
011_7,s-0.6764137148857117,s0.05380009114742279,s203.62913513183594
011_8,s0.6757534146308899,s0.20876097679138184,s339.1480712890625
011_9,s0.32310375571250916,s-0.3148030638694763,s660.0504760742188
011_10,s-0.205268993973732,s0.2783089280128479,s-95.93538665771484
012_0,s0.7281267642974854,s-0.23644812405109406,s-160.34246826171875
012_1,s-0.7414308786392212,s0.02878732979297638,s205.41339111328125
012_2,s0.27080753445625305,s-0.3736802041530609,s423.1684875488281
012_3,s0.670518696308136,s0.09055411070585251,s423.88897705078125
012_4,s-0.21085362136363983,s0.6913132071495056,s63.52262496948242
012_5,s0.03507295250892639,s0.736417829990387,s243.5218505859375
012_6,s-0.34253883361816406,s0.28204184770584106,s603.5011596679688
012_7,s-0.7142685055732727,s-0.8440110087394714,s385.4130859375
012_8,s0.737235963344574,s0.8453343510627747,s203.6265411376953
012_9,s-0.7180162072181702,s0.3314951956272125,s25.116247177124023
012_10,s-0.13006532192230225,s-0.8433312177658081,s18.55014419555664
012_11,s0.3326162099838257,s-0.7102638483047485,s604.3314208984375
013_0,s-0.28656214475631714,s-0.754022479057312,s604.3711547851562
013_1,s0.4396350383758545,s-0.026324555277824402,s25.551685333251953
013_2,s0.060883596539497375,s-0.22422601282596588,s199.47476196289062
013_3,s0.6903673410415649,s-0.8866332769393921,s23.716754913330078
013_4,s-0.7737115621566772,s-0.8865010738372803,s21.165075302124023
013_5,s-0.15161386132240295,s-0.07085764408111572,s375.9418640136719
013_6,s-0.7661021947860718,s0.05618259310722351,s384.67010498046875
013_7,s-0.36342358589172363,s-0.4145793616771698,s67.02181243896484
013_8,s0.3203340172767639,s0.7793683409690857,s293.6298522949219
013_9,s0.7782569527626038,s-0.09854361414909363,s203.716796875
013_10,s-0.7361475229263306,s0.8869876861572266,s204.6698760986328
013_11,s0.7703483700752258,s0.33166465163230896,s340.3728332519531
013_12,s-0.17102502286434174,s0.8865518569946289,s558.40283203125
014_0,s-0.7810549736022949,s-0.8779815435409546,s746.4390258789062
014_1,s-0.7040444612503052,s0.8166505694389343,s-66.3695297241211
014_2,s-0.1998511552810669,s0.07174089550971985,s160.24168395996094
014_3,s0.7788172364234924,s-0.24024897813796997,s206.49220275878906
014_4,s0.3112264573574066,s-0.33675527572631836,s518.873291015625
014_5,s-0.30809757113456726,s-0.9238566756248474,s340.4689636230469
014_6,s-0.31103187799453735,s0.33718016743659973,s698.8751831054688
014_7,s0.7813636064529419,s0.8779587745666504,s206.43429565429688
014_8,s-0.778693437576294,s0.24042116105556488,s386.5542907714844
014_9,s0.3083079159259796,s0.9237463474273682,s160.4800262451172
014_10,s-0.8237617611885071,s-0.0058779120445251465,s206.43923950195312
014_11,s0.20016591250896454,s-0.07192444801330566,s340.24169921875
014_12,s0.8240072131156921,s0.005845561623573303,s386.4344177246094
014_13,s0.7036966681480408,s-0.8167670965194702,s-246.36997985839844
015_0,s-0.4833897650241852,s0.3953467011451721,s208.87979125976562
015_1,s-0.8553107380867004,s-0.4413405656814575,s876.3701171875
015_2,s0.5235044956207275,s0.45890969038009644,s234.6181182861328
015_3,s0.9623900055885315,s-0.21333381533622742,s112.8948974609375
015_4,s0.46886345744132996,s0.7858754992485046,s-299.1585388183594
015_5,s0.10443481802940369,s-0.18665197491645813,s292.8948974609375
015_6,s0.15131354331970215,s0.27538150548934937,s-699.6649780273438
015_7,s0.9626259803771973,s-0.8522464632987976,s65.81822204589844
015_8,s-0.3472983241081238,s0.8456788659095764,s430.50067138671875
015_9,s0.8458203077316284,s0.9621726870536804,s-160.542724609375
015_10,s-0.006343528628349304,s-0.5816304087638855,s425.9642333984375
015_11,s-0.8229326605796814,s0.4550103545188904,s26.178272247314453
015_12,s-0.3834075331687927,s-0.8488709926605225,s830.7979125976562
015_13,s0.09288254380226135,s-0.8502187728881836,s245.96360778808594
015_14,s-0.9625182747840881,s0.013339068740606308,s252.20973205566406
016_0,s0.1392878144979477,s-0.21530984342098236,s21.497995376586914
016_1,s0.38097500801086426,s0.8904503583908081,s-66.39991760253906
016_2,s0.3989117443561554,s-0.6277966499328613,s291.998779296875
016_3,s-0.8381839394569397,s0.3676690459251404,s24.18229866027832
016_4,s0.8907882571220398,s-0.9981642365455627,s336.3699951171875
016_5,s0.021863624453544617,s-0.889048159122467,s247.09695434570312
016_6,s0.8646847605705261,s0.48982977867126465,s-25.681886672973633
016_7,s0.9979110956192017,s-0.0034639984369277954,s111.9989242553711
016_8,s-0.21624523401260376,s0.9087681770324707,s-120.38212585449219
016_9,s-0.48613590002059937,s0.8720270395278931,s64.9245834350586
016_10,s0.5958265066146851,s0.2317941039800644,s68.58194732666016
016_11,s-0.41793155670166016,s-0.8842577934265137,s110.79578399658203
016_12,s-0.06315568089485168,s-0.5667105913162231,s67.7296142578125
016_13,s-0.8905365467071533,s-0.4783071279525757,s-203.6295928955078
016_14,s-0.43694308400154114,s0.5117411613464355,s561.6856689453125
016_15,s-1.001328706741333,s-0.02427196502685547,s-99.66490173339844
017_0,s0.6376837491989136,s0.6961706876754761,s112.80941009521484
017_1,s-0.5116053819656372,s-0.9270509481430054,s-246.37112426757812
017_2,s-0.5114787817001343,s0.42138341069221497,s-23.250831604003906
017_3,s0.8803839683532715,s0.12066802382469177,s-27.310434341430664
017_4,s0.5586231350898743,s0.057115089148283005,s114.95626831054688
017_5,s-0.06817659735679626,s-0.9270398616790771,s246.36886596679688
017_6,s-0.14262844622135162,s-0.5848827362060547,s-298.2024230957031
017_7,s0.9267855286598206,s-1.0308626890182495,s336.3700256347656
017_8,s0.9267284274101257,s-0.14435000717639923,s156.39002990722656
017_9,s-0.29518598318099976,s0.05789727717638016,s-425.043701171875
017_10,s-0.5592708587646484,s0.09841807186603546,s120.66516876220703
017_11,s0.13039399683475494,s1.0339381694793701,s155.72996520996094
017_12,s-0.8574251532554626,s0.9264736175537109,s-66.36994171142578
017_13,s-0.9265756607055664,s0.5912560820579529,s-203.56271362304688
017_14,s-0.917631208896637,s-0.45448726415634155,s-200.7932891845703
017_15,s0.3048383295536041,s-0.43544119596481323,s-518.1939086914062
017_16,s1.030042290687561,s0.9263643026351929,s426.39544677734375
018_0,s1.0591176748275757,s0.9521883726119995,s426.3699951171875
018_1,s-0.9038507342338562,s-0.08354347944259644,s515.4296875
018_2,s-0.6644152998924255,s-0.4727897346019745,s201.0789031982422
018_3,s0.37597978115081787,s-0.32151609659194946,s1274.9337158203125
018_4,s0.5700335502624512,s0.07659740746021271,s1167.890380859375
018_5,s0.9037882089614868,s0.08425290882587433,s695.4288330078125
018_6,s0.9541237354278564,s-0.16645470261573792,s1235.43115234375
018_7,s-0.9391626119613647,s1.050460934638977,s876.2208862304688
018_8,s0.046698302030563354,s0.41744178533554077,s1415.7894287109375
018_9,s0.6645114421844482,s0.4735647439956665,s381.0814208984375
018_10,s-0.0989840179681778,s0.9521942734718323,s1866.369873046875
018_11,s-0.3759475350379944,s0.3223537802696228,s1454.9334716796875
018_12,s-0.570222020149231,s-0.07582144439220428,s987.8927001953125
018_13,s-0.04664129018783569,s-0.4165554642677307,s1235.79052734375
018_14,s-0.9541038274765015,s0.16733062267303467,s1775.4298095703125
018_15,s0.09901998937129974,s-0.9513581395149231,s2046.3699951171875
018_16,s-1.0591267347335815,s-0.9513575434684753,s246.37039184570312
018_17,s0.94174724817276,s-1.0527998208999634,s696.5363159179688
019_0,s-0.21662385761737823,s-0.9910586476325989,s423.7359924316406
019_1,s1.055004596710205,s0.12164047360420227,s426.95831298828125
019_2,s-0.014460660517215729,s-0.5880701541900635,s-333.8878173828125
019_3,s0.38276174664497375,s-0.43802112340927124,s-520.4628295898438
019_4,s0.03230828046798706,s-0.9466565847396851,s242.828125
019_5,s0.9918384552001953,s-1.0989128351211548,s-23.628643035888672
019_6,s0.4854894280433655,s0.7566407322883606,s246.9580841064453
019_7,s-0.5843625664710999,s0.9783596992492676,s425.3363952636719
019_8,s-1.0975918769836426,s-0.9914895296096802,s-113.6301040649414
